Tiempo (s);Masa (kg);Cantidad de Cuerda (m);Altura (m);Posicion (m);Velocidad (m/s);Constante de Elasticidad (N/m);Constante del Aire;Gravedad (m/s2)
2.540.006;105.0;240;240.0;864.533;-28.592.153;200.0;19.075;9.81
25.500.061;105.0;240;240.0;8.334.292;-3.454.953;200.0;19.075;9.81
25.600.061;105.0;240;240.0;79.694.567;-39.755.404;200.0;19.075;9.81
25.700.062;105.0;240;240.0;75.585.766;-4.412.648;200.0;19.075;9.81
25.800.062;105.0;240;240.0;7.110.151;-47.596.054;200.0;19.075;9.81
25.900.063;105.0;240;240.0;6.633.216;-50.115.557;200.0;19.075;9.81
26.000.063;105.0;240;240.0;61.371.813;-51.655.083;200.0;19.075;9.81
26.100.063;105.0;240;240.0;5.631.641;-5.220.349;200.0;19.075;9.81
26.200.064;105.0;240;240.0;5.126.195;-5.176.835;200.0;19.075;9.81
26.300.064;105.0;240;240.0;46.302.695;-50.375.414;200.0;19.075;9.81
26.400.064;105.0;240;240.0;4.152.957;-48.067.923;200.0;19.075;9.81
26.500.065;105.0;240;240.0;37.028;-4.490.524;200.0;19.075;9.81
26.600.065;105.0;240;240.0;32.877.212;-40.961.723;200.0;19.075;9.81
26.700.066;105.0;240;240.0;29.148.319;-36.324.973;200.0;19.075;9.81
26.800.066;105.0;240;240.0;2.590.331;-310.939;200.0;19.075;9.81
26.900.066;105.0;240;240.0;23.194.036;-25.376.737;200.0;19.075;9.81
27.000.067;105.0;240;240.0;21.061.397;-19.288.852;200.0;19.075;9.81
27.100.067;105.0;240;240.0;19.534.881;-12.950.636;200.0;19.075;9.81
27.200.068;105.0;240;240.0;18.631.966;-0.648445;200.0;19.075;9.81
27.300.068;105.0;240;240.0;18.358.376;-0.0013374091;200.0;19.075;9.81
27.400.068;105.0;240;240.0;18.707.902;0.6341808;200.0;19.075;9.81
27.500.069;105.0;240;240.0;19.662.848;12.464.638;200.0;19.075;9.81
27.600.069;105.0;240;240.0;21.194.546;18.245.075;200.0;19.075;9.81
2.770.007;105.0;240;240.0;23.264.055;23.581.457;200.0;19.075;9.81
2.780.007;105.0;240;240.0;25.823.066;28.382.072;200.0;19.075;9.81
2.790.007;105.0;240;240.0;28.815.181;32.567.286;200.0;19.075;9.81
2.800.007;105.0;240;240.0;3.217.676;3.606.993;200.0;19.075;9.81
2.810.007;105.0;240;240.0;35.838.482;38.836.915;200.0;19.075;9.81
28.200.071;105.0;240;240.0;39.726.644;4.082.984;200.0;19.075;9.81
28.300.072;105.0;240;240.0;4.376.467;42.025.433;200.0;19.075;9.81
28.400.072;105.0;240;240.0;4.787.455;42.415.695;200.0;19.075;9.81
28.500.072;105.0;240;240.0;5.197.833;42.007.804;200.0;19.075;9.81
28.600.073;105.0;240;240.0;55.999.475;40.823.717;200.0;19.075;9.81
28.700.073;105.0;240;240.0;59.864.674;38.899.424;200.0;19.075;9.81
28.800.074;105.0;240;240.0;63.504.524;362.841;200.0;19.075;9.81
28.900.074;105.0;240;240.0;66.855.187;33.038.943;200.0;19.075;9.81
29.000.074;105.0;240;240.0;69.859.347;2.923.578;200.0;19.075;9.81
29.100.075;105.0;240;240.0;7.246.719;24.955.556;200.0;19.075;9.81
29.200.075;105.0;240;240.0;74.637.184;2.028.668;200.0;19.075;9.81
29.300.076;105.0;240;240.0;7.633.667;15.323.347;200.0;19.075;9.81
29.400.076;105.0;240;240.0;775.425;10.163.155;200.0;19.075;9.81
29.500.076;105.0;240;240.0;7.824.098;0.49060142;200.0;19.075;9.81
29.600.077;105.0;240;240.0;7.842.819;-0.03482771;200.0;19.075;9.81
29.700.077;105.0;240;240.0;78.109.827;-0.550177;200.0;19.075;9.81
29.800.077;105.0;240;240.0;77.300.873;-10.460.143;200.0;19.075;9.81
29.900.078;105.0;240;240.0;7.602.525;-15.134.419;200.0;19.075;9.81
30.000.078;105.0;240;240.0;74.315.114;-19.442.502;200.0;19.075;9.81
30.100.079;105.0;240;240.0;72.210.226;-23.310.516;200.0;19.075;9.81
30.200.079;105.0;240;240.0;69.756.823;-26.674.428;200.0;19.075;9.81
3.030.008;105.0;240;240.0;6.700.697;-29.480.424;200.0;19.075;9.81
3.040.008;105.0;240;240.0;64.017.277;-31.686.175;200.0;19.075;9.81
3.050.008;105.0;240;240.0;60.847.816;-3.326.132;200.0;19.075;9.81
3.060.008;105.0;240;240.0;5.756.093;-34.187.796;200.0;19.075;9.81
3.070.008;105.0;240;240.0;54.220.033;-3.445.997;200.0;19.075;9.81
30.800.081;105.0;240;240.0;50.888.505;-340.845;200.0;19.075;9.81
30.900.082;105.0;240;240.0;47.628.136;-33.080.032;200.0;19.075;9.81
31.000.082;105.0;240;240.0;4.449.855;-31.476.567;200.0;19.075;9.81
31.100.082;105.0;240;240.0;4.155.577;-29.314.778;200.0;19.075;9.81
31.200.083;105.0;240;240.0;38.851.337;-26.645.002;200.0;19.075;9.81
31.300.083;105.0;240;240.0;36.431.425;-2.352.615;200.0;19.075;9.81
31.400.084;105.0;240;240.0;34.336.047;-20.024.464;200.0;19.075;9.81
31.500.084;105.0;240;240.0;32.598.524;-16.212.227;200.0;19.075;9.81
31.600.084;105.0;240;240.0;3.124.473;-12.165.926;200.0;19.075;9.81
31.700.085;105.0;240;240.0;30.293.088;-0.7965326;200.0;19.075;9.81
31.800.085;105.0;240;240.0;29.754.133;-0.36915463;200.0;19.075;9.81
31.900.085;105.0;240;240.0;29.630.504;0.057437956;200.0;19.075;9.81
32.000.084;105.0;240;240.0;2.991.705;0.4752913;200.0;19.075;9.81
32.100.082;105.0;240;240.0;30.601.046;0.8767801;200.0;19.075;9.81
3.220.008;105.0;240;240.0;3.166.263;12.547.207;200.0;19.075;9.81
3.230.008;105.0;240;240.0;33.075.185;16.024.646;200.0;19.075;9.81
32.400.078;105.0;240;240.0;34.806.075;19.140.795;200.0;19.075;9.81
32.500.076;105.0;240;240.0;36.817.312;2.184.402;200.0;19.075;9.81
32.600.075;105.0;240;240.0;39.066.346;24.091.303;200.0;19.075;9.81
32.700.073;105.0;240;240.0;41.506.968;25.848.918;200.0;19.075;9.81
3.280.007;105.0;240;240.0;4.409.028;27.092.917;200.0;19.075;9.81
3.290.007;105.0;240;240.0;46.765.413;27.809.215;200.0;19.075;9.81
3.300.007;105.0;240;240.0;49.480.886;2.799.398;200.0;19.075;9.81
33.100.067;105.0;240;240.0;52.185.326;27.653.317;200.0;19.075;9.81
33.200.066;105.0;240;240.0;5.482.849;2.680.299;200.0;19.075;9.81
33.300.064;105.0;240;240.0;57.362.185;25.468.016;200.0;19.075;9.81
33.400.063;105.0;240;240.0;59.741.178;23.681.943;200.0;19.075;9.81
3.350.006;105.0;240;240.0;6.192.374;21.486.268;200.0;19.075;9.81
3.360.006;105.0;240;240.0;63.872.766;18.929.254;200.0;19.075;9.81
